Voltage ID,Volt J Coordinate,Temp ID,Temp J Coordinate
1(-) DC,J35,Stack 1 Side 1,J9
1(-),J45,1,J13
1,J22,2,J11
2,J23,3,J7
3,J20,4,J5
4,J33,5,J3
5,J18,Stack 1 Side 2,J8
6,J43,6,J2
7,J16,7,J12
8,J21,8,J4
9,J14,9,J10
10,J31,10,J6
11,J34,Stack 2 Side 1,J53
12,J41,11,J57
13,J32,12,J55
14,J19,13,J51
15,J30,14,J49
16,J29,15,J47
17,J28,Stack 2 Side 2,J52
18,J39,16,J46
19,J26,17,J56
20,J17,18,J48
21,J24,19,J54
22,J27,20,J50
23,J44,Stack 3 Side 1,J97
24,J37,21,J101
25,J42,22,J99
26,J15,23,J95
27,J40,24,J93
28,J25,25,J91
29,J38,Stack 3 Side 2,J96
31(-),J89,26,J90
31,J66,27,J100
32,J67,28,J92
33,J64,29,J98
34,J77,30,J94
35,J62,Stack 4 Side 1,J141
36,J87,31,J145
37,J60,32,J143
38,J65,33,J139
39,J58,34,J137
40,J75,35,J135
41,J78,Stack 4 Side 2,J140
42,J85,36,J134
43,J76,37,J144
44,J63,38,J136
45,J74,39,J142
46,J73,40,J138
47,J72,Stack 5 Side 1,J185
48,J83,41,J189
49,J70,42,J187
50,J61,43,J183
51,J68,44,J181
52,J71,45,J179
53,J88,Stack 5 Side 2,J184
54,J81,46,J178
55,J86,47,J188
56,J59,48,J180
57,J84,49,J186
58,J69,50,J182
59,J82,,
61(-),J133,,
61,J110,,
62,J111,,
63,J108,,
64,J121,,
65,J106,,
66,J131,,
67,J104,,
68,J109,,
69,J102,,
70,J119,,
71,J122,,
72,J129,,
73,J120,,
74,J107,,
75,J118,,
76,J117,,
77,J116,,
78,J127,,
79,J114,,
80,J105,,
81,J112,,
82,J115,,
83,J132,,
84,J125,,
85,J130,,
86,J103,,
87,J128,,
88,J113,,
89,J126,,
91(-),J177,,
91,J154,,
92,J155,,
93,J152,,
94,J165,,
95,J150,,
96,J175,,
97,J148,,
98,J153,,
99,J146,,
100,J163,,
101,J166,,
102,J173,,
103,J164,,
104,J151,,
105,J162,,
106,J161,,
107,J160,,
108,J171,,
109,J158,,
110,J149,,
111,J156,,
112,J159,,
113,J176,,
114,J169,,
115,J174,,
116,J147,,
117,J172,,
118,J157,,
119,J170,,
121(-),J221,,
121,J198,,
122,J199,,
123,J196,,
124,J209,,
125,J194,,
126,J219,,
127,J192,,
128,J197,,
129,J190,,
130,J207,,
131,J210,,
132,J217,,
133,J208,,
134,J195,,
135,J206,,
136,J205,,
137,J204,,
138,J215,,
139,J202,,
140,J193,,
141,J200,,
142,J203,,
143,J220,,
144,J213,,
145,J218,,
146,J191,,
147,J216,,
148,J201,,
149,J214,,
149(-),J212,,
